Wavelength_nm,Absorbance,Date,Sample
364,0.035,2025-06-10,SP02
365,0.0411,2025-06-10,SP01
365,0.0346,2025-06-10,SP02
366,0.0405,2025-06-10,SP01
366,0.0341,2025-06-10,SP02
367,0.04,2025-06-10,SP01
367,0.0337,2025-06-10,SP02
368,0.0396,2025-06-10,SP01
368,0.0329,2025-06-10,SP02
369,0.0391,2025-06-10,SP01
369,0.0326,2025-06-10,SP02
370,0.0383,2025-06-10,SP01
370,0.032,2025-06-10,SP02
371,0.0381,2025-06-10,SP01
371,0.0316,2025-06-10,SP02
372,0.0377,2025-06-10,SP01
372,0.031,2025-06-10,SP02
373,0.0368,2025-06-10,SP01
373,0.0305,2025-06-10,SP02
374,0.0364,2025-06-10,SP01
374,0.0303,2025-06-10,SP02
375,0.0358,2025-06-10,SP01
375,0.0297,2025-06-10,SP02
376,0.0353,2025-06-10,SP01
376,0.0292,2025-06-10,SP02
377,0.0353,2025-06-10,SP01
377,0.0289,2025-06-10,SP02
378,0.0353,2025-06-10,SP01
378,0.0283,2025-06-10,SP02
379,0.0346,2025-06-10,SP01
379,0.0278,2025-06-10,SP02
380,0.034,2025-06-10,SP01
380,0.0275,2025-06-10,SP02
381,0.0338,2025-06-10,SP01
381,0.0272,2025-06-10,SP02
382,0.033,2025-06-10,SP01
382,0.0265,2025-06-10,SP02
383,0.0326,2025-06-10,SP01
383,0.0263,2025-06-10,SP02
384,0.0323,2025-06-10,SP01
384,0.0261,2025-06-10,SP02
385,0.0317,2025-06-10,SP01
385,0.0253,2025-06-10,SP02
386,0.0314,2025-06-10,SP01
386,0.0253,2025-06-10,SP02
387,0.0311,2025-06-10,SP01
387,0.0246,2025-06-10,SP02
388,0.0309,2025-06-10,SP01
388,0.0244,2025-06-10,SP02
389,0.0302,2025-06-10,SP01
389,0.0239,2025-06-10,SP02
390,0.0297,2025-06-10,SP01
390,0.0238,2025-06-10,SP02
391,0.0296,2025-06-10,SP01
391,0.0234,2025-06-10,SP02
392,0.0297,2025-06-10,SP01
392,0.0232,2025-06-10,SP02
393,0.029,2025-06-10,SP01
393,0.0228,2025-06-10,SP02
394,0.0288,2025-06-10,SP01
394,0.0224,2025-06-10,SP02
395,0.0287,2025-06-10,SP01
395,0.0223,2025-06-10,SP02
396,0.0282,2025-06-10,SP01
396,0.0219,2025-06-10,SP02
397,0.0278,2025-06-10,SP01
397,0.0215,2025-06-10,SP02
398,0.0274,2025-06-10,SP01
398,0.0213,2025-06-10,SP02
399,0.0273,2025-06-10,SP01
399,0.0209,2025-06-10,SP02
400,0.027,2025-06-10,SP01
400,0.0209,2025-06-10,SP02
401,0.0269,2025-06-10,SP01
401,0.0206,2025-06-10,SP02
402,0.0259,2025-06-10,SP01
402,0.02,2025-06-10,SP02
403,0.0259,2025-06-10,SP01
403,0.02,2025-06-10,SP02
404,0.0258,2025-06-10,SP01
404,0.0198,2025-06-10,SP02
405,0.0258,2025-06-10,SP01
405,0.0193,2025-06-10,SP02
406,0.0255,2025-06-10,SP01
406,0.0192,2025-06-10,SP02
407,0.0251,2025-06-10,SP01
407,0.0192,2025-06-10,SP02
408,0.0249,2025-06-10,SP01
408,0.019,2025-06-10,SP02
409,0.0243,2025-06-10,SP01
409,0.0185,2025-06-10,SP02
410,0.0243,2025-06-10,SP01
410,0.0184,2025-06-10,SP02
411,0.0243,2025-06-10,SP01
411,0.0179,2025-06-10,SP02
412,0.0237,2025-06-10,SP01
412,0.0179,2025-06-10,SP02
413,0.0234,2025-06-10,SP01
413,0.0176,2025-06-10,SP02
414,0.0232,2025-06-10,SP01
414,0.0173,2025-06-10,SP02
415,0.0232,2025-06-10,SP01
415,0.0173,2025-06-10,SP02
416,0.0228,2025-06-10,SP01
416,0.0172,2025-06-10,SP02
417,0.0226,2025-06-10,SP01
417,0.0167,2025-06-10,SP02
418,0.0225,2025-06-10,SP01
418,0.0168,2025-06-10,SP02
419,0.0224,2025-06-10,SP01
419,0.0166,2025-06-10,SP02
420,0.0222,2025-06-10,SP01
420,0.0164,2025-06-10,SP02
421,0.0221,2025-06-10,SP01
